	zh_tw	zh	en
i18n_ServCloud_ServTrackManagement_000154	一	一	Monday
i18n_ServCloud_ServTrackManagement_000155	(日)	(日)	(Sunday)
i18n_ServCloud_ServTrackManagement_000156	(四)	(四)	(Thursday)
i18n_ServCloud_ServTrackManagement_000157	(六)	(六)	(Saturday)
i18n_ServCloud_ServTrackManagement_000158	(五)	(五)	(Friday)
i18n_ServCloud_ServTrackManagement_000159	(二)	(二)	(Tuesday)
i18n_ServCloud_ServTrackManagement_000160	(三)	(三)	(Wednesday)
i18n_ServCloud_ServTrackManagement_000161	(一)	(一)	(Monday)
i18n_ServCloud_ServTrackManagement_000162	製程良率目標值	制程良率目标值	Production process targe yield rate
i18n_ServCloud_ServTrackManagement_000163	製程與不良上傳結果	制程与不良上传结果	Production process and defective reason upload result
i18n_ServCloud_ServTrackManagement_000164	製程與不良	制程与不良	Production process and defective reason
i18n_ServCloud_ServTrackManagement_000165	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000166	製程代碼	制程代码	Production process code
i18n_ServCloud_ServTrackManagement_000167	線別良率目標值	线别良率目标值	Production line target yield rate
i18n_ServCloud_ServTrackManagement_000168	線別稼動率目標值	线别稼动率目标值	Production line target utilization rate
i18n_ServCloud_ServTrackManagement_000169	線別代號	线别代号	Produciton line code
i18n_ServCloud_ServTrackManagement_000170	線別上傳結果	线别上传结果	Production line upload result
i18n_ServCloud_ServTrackManagement_000171	產能效率目標值	产能效率目标值	Production output performance target value
i18n_ServCloud_ServTrackManagement_000172	產品良率目標值	产品良率目标值	Product target yield rate
i18n_ServCloud_ServTrackManagement_000173	產品工序良率目標值	产品工序良率目标值	Produc production process sequence target yield rate
i18n_ServCloud_ServTrackManagement_000174	產品及工序上傳結果	产品及工序上传结果	Product and production process sequence upload result
i18n_ServCloud_ServTrackManagement_000175	產品及工序	产品及工序	Product and production process sequence
i18n_ServCloud_ServTrackManagement_000176	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000177	班次天時間	班次天时间	Working hour of the shift date
